Avonet_Species,Genus,Family,Order,Habitat,Primary.Lifestyle,Mass,Status,Source,scientificName,Bird_Type_Coarse,Volancy,IslandEndemic,Volancy_Source,Migratory_status,Extent_of_occurrence_km2,Generation_length_yrs,Neartic,Paleartic,Afrotropical,Neotropical,Indomalayan,Australasian,Oceanic,Breeding_Distribution,Number_islands_extant,Parasite,Mound,NestSite_ground,NestSite_tree,NestSite_nontree,NestSite_cliff_bank,NestSite_underground,NestSite_waterbody,NestSite_termite_ant,Bird_Type
Apteryx mantelli,Apteryx,Apterygidae,Apterygiformes,Forest,Terrestrial,2320.50666666667,Extant,"",Apteryx mantelli,Landbirds,Flightless,Yes,Sayol et al. 2020 Sci Adv,not a migrant,157000,8.8,0,0,0,0,0,1,0,Islands,4,0,0,0,0,0,0,1,0,0,Flightless Landbirds
Callaeas cinereus,Callaeas,Callaeatidae; Callaeidae,Passeriformes,Forest,Insessorial,225.37,Extant,"",Callaeas cinereus,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,"",,,,,,,,,,Islands,5,0,0,0,0,1,0,0,0,0,Landbirds
Charadrius obscurus,Charadrius,Charadriidae,Charadriiformes,Coastal,Terrestrial,146,Extant,"",Charadrius obscurus,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,2200,5,0,0,0,0,0,1,0,Islands,19,0,0,1,0,0,1,0,0,0,Landbirds
Chasiempis ibidis,Chasiempis,Monarchidae,Passeriformes,Forest,Insessorial,13.1,Extant,"",Chasiempis ibidis,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,1100,5.9,0,0,0,0,0,1,0,Islands,1,0,0,0,1,0,0,0,0,0,Landbirds
Cinclodes antarcticus,Cinclodes,Furnariidae,Passeriformes,Coastal,Terrestrial,63.2,Extant,"",Cinclodes antarcticus,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,32600,4.3,0,0,0,1,0,0,0,"",,0,0,0,0,0,1,0,0,0,Landbirds
Cyanoramphus auriceps,Cyanoramphus,Psittacidae; Psittaculidae,Psittaciformes,Forest,Insessorial,45.6266666666667,Extant,"",Cyanoramphus auriceps,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,548000,4.6,0,0,0,0,0,1,1,"",,0,0,0,1,0,0,0,0,0,Landbirds
Megapodius laperouse,Megapodius,Megapodiidae,Galliformes,Forest,Terrestrial,308,Extant,"",Megapodius laperouse,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,481000,4,0,0,0,0,0,1,1,Islands,28,0,1,0,0,0,0,1,0,0,Landbirds
Mohoua ochrocephala,Mohoua,Acanthizidae; Mohouidae,Passeriformes,Forest,Insessorial,27.6933333333333,Extant,"",Mohoua ochrocephala,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,115000,7,0,0,0,0,0,0,1,Islands,12,0,0,0,1,0,0,0,0,0,Landbirds
Prosobonia parvirostris,Prosobonia,Scolopacidae,Charadriiformes,Coastal,Terrestrial,36,Extant,"",Prosobonia parvirostris,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,140000,6.5,0,0,0,0,0,1,0,"",,0,0,1,0,0,0,0,0,0,Landbirds
Pterodroma cookii,Pterodroma,Procellariidae,Procellariiformes,Marine,Aerial,177.906666666667,Extant,"",Pterodroma cookii,Seabirds,Volant,No,Sayol et al. 2020 Sci Adv,full migrant,139000000,15.6,1,0,0,1,0,0,1,"",,0,0,0,0,0,0,1,0,0,Seabirds
Pterodroma madeira,Pterodroma,Procellariidae,Procellariiformes,Marine,Generalist,201.066666666667,Extant,"",Pterodroma madeira,Seabirds,Volant,Yes,Sayol et al. 2020 Sci Adv,full migrant,36900000,28,0,1,0,0,0,1,0,Islands,2,0,0,0,0,0,0,1,0,0,Seabirds
Pterodroma phaeopygia,Pterodroma,Procellariidae,Procellariiformes,Marine,Generalist,400.813333333333,Extant,"",Pterodroma phaeopygia,Seabirds,Volant,No,Sayol et al. 2020 Sci Adv,full migrant,16800000,19.8,0,0,0,1,0,1,1,Islands,5,0,0,0,0,0,1,0,0,0,Seabirds
Pterodroma pycrofti,Pterodroma,Procellariidae,Procellariiformes,Marine,Generalist,159,Extant,"",Pterodroma pycrofti,Seabirds,Volant,No,Sayol et al. 2020 Sci Adv,full migrant,98900000,11,1,0,0,0,0,1,1,"",,0,0,0,0,0,0,1,0,0,Seabirds
Ptychoramphus aleuticus,Ptychoramphus,Alcidae,Charadriiformes,Marine,Aquatic,184,Extant,"",Ptychoramphus aleuticus,Landbirds,Volant,No,Sayol et al. 2020 Sci Adv,not a migrant,8620000,7.6,1,0,0,0,0,0,0,"",,0,0,1,0,0,1,1,0,0,Landbirds
Puffinus mauretanicus,Puffinus,Procellariidae,Procellariiformes,Marine,Generalist,497,Extant,"",Puffinus mauretanicus,Seabirds,Volant,No,Sayol et al. 2020 Sci Adv,full migrant,7120000,15,0,1,0,0,0,1,0,Islands,18,0,0,0,0,0,1,0,0,0,Seabirds
Puffinus myrtae,Puffinus,Procellariidae,Procellariiformes,Marine,Generalist,350.8,Extant,"",Puffinus myrtae,Seabirds,Volant,Yes,Sayol et al. 2020 Sci Adv,"",,,,,,,,,,"",,0,0,0,0,0,0,1,0,0,Seabirds
Puffinus yelkouan,Puffinus,Procellariidae,Procellariiformes,Marine,Generalist,497,Extant,"",Puffinus yelkouan,Seabirds,Volant,No,Sayol et al. 2020 Sci Adv,full migrant,5480000,18,0,1,0,0,0,0,0,"",,0,0,0,0,0,1,1,0,0,Seabirds
Synthliboramphus scrippsi,Synthliboramphus,Alcidae,Charadriiformes,Marine,Aquatic,167,Extant,"",Synthliboramphus scrippsi,Landbirds,Volant,No,Sayol et al. 2020 Sci Adv,not a migrant,217000,12.1,1,0,0,1,0,0,0,"",,0,0,1,0,0,1,0,0,0,Landbirds
Vini peruviana,Vini,Psittacidae; Psittaculidae,Psittaciformes,Woodland,Insessorial,29,Extant,"",Vini peruviana,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,75500,5.1,0,0,0,0,0,1,1,"",,0,0,0,0,1,0,0,0,0,Landbirds
Vini ultramarina,Vini,Psittacidae; Psittaculidae,Psittaciformes,Forest,Insessorial,46.3333333333333,Extant,"",Vini ultramarina,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,99,5,0,0,0,0,0,0,1,Islands,1,0,0,0,1,1,0,0,0,0,Landbirds
